x_cord,y_cord
1553,111
1792,152
2186,161
1792,294
1047,307
1808,306
945,309
992,311
1265,313
933,320
1024,322
976,325
1393,324
937,343
1392,353
1713,353
859,354
989,368
949,370
1920,377
981,378
1242,381
848,385
920,390
969,393
1556,393
923,395
899,396
946,397
899,399
945,399
853,401
910,402
2368,402
910,406
831,412
1488,415
814,416
813,420
836,421
833,423
1553,425
849,430
801,433
1409,432
1505,438
1104,448
850,460
1264,465
1264,467
849,469
864,468
1281,469
1265,470
1383,473
872,488
752,502
864,512
1104,513
1104,517
704,526
817,539
1088,539
818,542
2608,542
689,545
1797,547
1084,550
1084,555
721,559
1840,586
1824,591
704,596
753,604
1045,605
1312,605
703,608
1825,608
1872,610
1312,616
1420,628
1345,639
1571,640
1153,646
574,650
1004,656
1392,657
2533,657
2688,665
1629,670
1008,673
1457,684
1552,687
2673,688
953,692
570,697
1799,696
589,699
1633,699
588,702
1552,705
567,707
977,709
625,711
949,715
865,724
641,730
917,733
2657,733
640,735
673,735
1575,735
1574,740
672,746
625,748
1232,751
2593,753
1234,754
689,756
1413,756
641,758
881,758
640,761
1412,760
2480,760
641,764
2624,766
614,768
2082,769
649,771
1585,771
1136,773
1232,772
613,775
585,776
672,776
2135,778
2136,783
1142,785
2096,784
2607,785
1606,786
2096,786
1141,788
2138,788
1264,791
597,795
1419,803
1664,803
1652,810
2593,816
592,819
833,819
2136,818
785,821
829,827
828,829
827,831
2369,830
2385,830
2512,830
2144,833
2560,839
1233,846
2486,847
2552,847
1211,848
1009,852
1761,852
2432,852
752,855
2159,854
992,861
757,862
1841,863
661,865
1169,865
2529,868
720,876
1841,877
2183,879
705,880
996,880
1441,880
2512,881
1203,884
720,886
1202,890
1201,894
417,898
428,912
444,912
1340,916
433,925
1626,964
460,967
460,970
417,972
480,987
993,1008
1008,1008
1184,1009
1040,1030
1825,1031
1040,1036
1096,1037
1040,1040
1824,1041
1595,1057
841,1063
1338,1063
1932,1062
866,1066
1572,1068
1888,1069
1362,1070
1648,1070
976,1072
897,1078
896,1080
896,1082
1361,1087
842,1089
896,1088
843,1091
864,1101
828,1104
1664,1105
880,1106
853,1111
879,1114
1648,1116
2912,1121
897,1124
1627,1127
1628,1130
848,1134
1629,1135
775,1142
897,1143
1136,1143
1153,1142
760,1156
513,1159
1185,1158
853,1160
760,1162
852,1162
1153,1165
895,1169
1152,1169
756,1171
1173,1170
759,1175
1169,1176
760,1178
869,1179
1338,1187
768,1198
785,1200
852,1201
912,1200
1665,1201
2900,1201
757,1202
1312,1210
1360,1210
2897,1214
2003,1222
1297,1225
1761,1226
1649,1233
1648,1240
1306,1261
1376,1263
1296,1268
1105,1275
1312,1275
1962,1277
1265,1278
1268,1283
1419,1282
528,1289
1136,1289
1248,1293
1168,1294
1312,1294
813,1309
1233,1316
1075,1328
1074,1336
486,1343
784,1344
784,1346
1089,1351
784,1352
1104,1358
736,1370
1583,1382
1111,1393
733,1399
734,1401
1536,1406
725,1408
833,1418
480,1423
954,1422
736,1425
417,1430
736,1430
924,1430
720,1435
834,1436
720,1438
761,1450
823,1452
928,1455
945,1455
944,1458
736,1468
848,1469
436,1476
433,1479
801,1487
1522,1499
715,1501
1525,1504
716,1506
717,1509
768,1511
753,1517
785,1519
817,1519
1494,1522
749,1525
1493,1525
448,1528
1229,1530
1273,1531
1274,1533
1513,1533
465,1537
773,1536
1281,1536
1482,1539
475,1546
476,1548
801,1549
1482,1548
289,1550
477,1550
480,1552
746,1553
749,1563
512,1565
475,1569
1248,1572
1777,1576
498,1584
497,1587
1200,1589
1888,1588
920,1590
512,1595
1841,1599
513,1606
529,1610
1872,1612
496,1616
1777,1618
977,1628
976,1631
1194,1630
865,1632
1792,1633
849,1639
2032,1638
976,1640
977,1642
2037,1643
525,1648
982,1648
526,1652
526,1656
1521,1659
976,1661
512,1664
860,1664
488,1666
537,1667
860,1667
489,1671
537,1679
485,1684
538,1684
482,1689
519,1689
2323,1694
485,1697
1472,1696
508,1704
508,1707
537,1706
2033,1707
1879,1709
537,1710
512,1714
1793,1715
481,1716
537,1716
1953,1718
1792,1723
1793,1725
736,1728
513,1734
873,1741
529,1745
912,1745
763,1749
2448,1753
497,1755
1489,1767
1488,1771
775,1774
1488,1775
448,1777
1472,1781
464,1784
487,1786
486,1788
791,1793
1728,1794
1511,1803
1184,1812
692,1820
692,1824
1153,1825
1520,1826
681,1835
1601,1836
1664,1839
2299,1840
2449,1841
1585,1844
1840,1844
1585,1849
2464,1848
1457,1851
1682,1851
1457,1856
1652,1856
1680,1856
1681,1859
661,1863
2284,1867
1616,1871
2680,1870
1141,1873
2281,1876
1137,1879
1676,1878
1536,1885
1552,1884
1662,1885
1505,1889
1585,1892
1585,1895
657,1900
1565,1902
1656,1902
1585,1904
1648,1905
652,1906
1713,1909
1297,1918
2227,1925
2160,1926
675,1932
1601,1949
1733,1950
1722,1954
1312,1964
1748,1969
784,1979
1317,1982
1747,1988
683,1999
1201,2002
475,2005
1441,2004
1441,2006
496,2015
747,2015
1752,2017
935,2032
1776,2033
1984,2032
1777,2039
1621,2041
1575,2051
1754,2050
721,2056
508,2059
960,2059
1541,2058
752,2063
945,2062
976,2067
1553,2073
736,2077
961,2077
976,2078
1409,2080
1952,2089
2192,2088
1296,2091
1440,2098
1408,2106
928,2119
508,2128
1536,2152
1489,2160
1999,2161
2481,2169
1570,2171
1504,2184
427,2208
444,2208
1162,2209
1136,2212
880,2216
1136,2216
2320,2226
485,2242
484,2246
483,2255
1696,2258
454,2262
1152,2268
2596,2289
465,2290
456,2301
1435,2301
1440,2311
1635,2376
1851,2379
811,2396
816,2403
1137,2405
851,2414
2065,2432
1659,2446
1060,2448
1181,2448
1434,2449
1181,2451
1433,2453
1179,2457
1179,2464
1176,2471
1088,2478
784,2481
817,2481
801,2482
1072,2491
2130,2494
912,2496
1360,2496
945,2507
2241,2514
1844,2525
1376,2527
881,2530
1249,2532
1360,2538
1344,2542
2436,2559
1365,2562
813,2615
901,2638
1877,2642
784,2655
2099,2658
1203,2672
1185,2684
992,2693
981,2708
980,2713
981,2716
985,2727
1543,2731
1499,2733
1397,2735
986,2738
991,2752
992,2754
1120,2758
966,2784
1500,2787
1440,2865
992,2868
992,2873
1040,2880
1238,2895
1236,2900
1040,2903
1265,2915
1376,2927
1329,2944
1297,2961
1367,3001
1267,3005
1366,3004
1317,3038
1345,3042
1441,3063
