datasetId,auc_1year,auc_2year,auc_3year
dataset0,0.8999999999999999,0.8728070175438596,0.8015333850931676
dataset1,0.8552631578947368,0.8541666666666667,0.899942218798151
dataset2,0.9727272727272727,0.9159663865546219,0.938548504741065
dataset3,0.9523809523809524,0.9453781512605043,0.9130557915604645
dataset4,0.7904761904761904,0.9166666666666666,1.0
dataset5,0.942857142857143,0.952991452991453,0.9874587458745875
dataset6,0.8636363636363636,0.9411764705882353,0.9577752976190477
dataset7,0.9681818181818181,0.9185520361990951,0.9288888888888889
dataset8,0.8991228070175439,0.8823529411764706,0.8842592592592592
dataset9,0.9210526315789473,0.8708333333333333,0.8483053935860059
dataset10,0.861904761904762,0.8883928571428572,0.8883928571428572
dataset11,0.9761904761904763,0.8781512605042018,0.8156048014773777
dataset12,0.8717948717948718,0.8907563025210085,0.8907563025210085
dataset13,0.9649122807017544,0.8903508771929824,0.9000090818272637
dataset14,0.9083333333333334,0.9663865546218487,1.0
dataset15,0.9142857142857143,0.905982905982906,0.9831876899696049
dataset16,0.9095238095238095,0.8461538461538463,0.9489431522053858
dataset17,0.8904761904761905,0.9583333333333334,0.9322157434402333
dataset18,0.9500000000000001,0.957983193277311,0.9788876488095237
dataset19,0.8285714285714286,0.8208333333333333,0.8547835990888384
dataset20,0.8999999999999999,0.8728070175438596,0.8015333850931676
dataset21,0.8761904761904762,0.8833333333333333,0.9158163265306122
dataset22,0.9545454545454546,0.9230769230769231,0.9179781521940381
dataset23,0.8681818181818182,0.8875,0.9829676941590298
dataset24,0.9393939393939394,0.9201680672268909,0.9201680672268909
dataset25,0.919047619047619,0.8991596638655462,0.9164843180160468
dataset26,0.9571428571428572,0.8791666666666667,0.8013392857142857
dataset27,0.9619047619047619,0.9537815126050421,0.9656964656964657
dataset28,0.7999999999999999,0.7375,0.8203302961275627
dataset29,0.8585858585858586,0.9244444444444445,0.8959276018099548
dataset30,0.907608695652174,0.823529411764706,0.8632583632583634
dataset31,0.905982905982906,0.9914529914529915,0.9914529914529915
dataset32,0.8815789473684211,0.9230769230769231,0.9693311874105867
dataset33,0.9736842105263158,0.9291666666666667,0.9141872278664731
dataset34,0.9590909090909091,0.957983193277311,0.920129270544783
dataset35,0.9142857142857143,0.8958333333333334,0.9202678571428572
dataset36,0.875,0.9017094017094017,0.8784932024169183
dataset37,0.8585858585858586,0.7991452991452992,0.8792079207920792
dataset38,0.9293478260869565,0.9230769230769231,0.9037009063444109
dataset39,0.8392857142857143,0.9743589743589743,0.9454031117397456
dataset40,0.9,0.9592760180995475,0.9773755656108598
dataset41,0.7863247863247863,0.8552631578947368,0.9191094993452201
dataset42,0.956140350877193,0.9732142857142858,0.9776785714285715
dataset43,0.8333333333333334,0.8541666666666666,0.892992687216514
dataset44,0.888888888888889,0.9411764705882353,0.9411764705882353
dataset45,0.9342105263157895,0.9615384615384616,0.9560085836909872
dataset46,0.9891304347826086,0.8506787330316743,0.8883928571428571
dataset47,0.95,0.9243697478991596,0.8985229759299783
dataset48,0.9141414141414141,0.8823529411764706,0.8872576177285318
dataset49,0.9453781512605042,0.9342105263157895,0.9331749049429657
dataset50,0.8717948717948718,0.8564814814814815,0.87
dataset51,0.9201680672268907,0.9017094017094017,0.9189922480620156
dataset52,0.9242424242424243,0.9159663865546218,0.8755433755433756
dataset53,0.9,0.975,0.9466145833333334
dataset54,0.8833333333333334,0.9342105263157895,0.9694771834391054
dataset55,0.8630952380952381,0.9537815126050421,0.9914434523809523
dataset56,0.9,0.9411764705882353,0.9732142857142857
dataset57,0.9285714285714285,0.8208333333333334,0.7933407738095238
dataset58,0.8991228070175439,0.9818181818181818,0.985634328358209
dataset59,0.9017094017094017,0.957983193277311,0.951312910284464
dataset60,0.9385964912280702,0.9600000000000001,0.9722222222222222
dataset61,0.9692982456140351,0.925,0.9182634453392576
dataset62,0.9666666666666667,0.9419642857142857,0.9066666666666666
dataset63,0.9272727272727272,0.9083333333333333,0.9101175599370545
dataset64,0.9523809523809524,0.9102564102564102,0.9102564102564102
dataset65,0.8954545454545455,0.9159663865546218,0.8901599702380952
dataset66,0.8586956521739131,0.8487394957983193,0.820129270544783
dataset67,0.8928571428571428,0.881578947368421,0.8779703934553954
dataset68,0.957983193277311,0.9642857142857143,0.8842592592592592
dataset69,0.8857142857142858,0.9375,0.9120759837177748
dataset70,0.9184782608695652,0.8660714285714286,0.8266666666666665
dataset71,0.9181818181818182,0.9642857142857143,0.9411764705882353
dataset72,0.8761904761904762,0.9666666666666667,0.957725947521866
dataset73,0.8,0.8166666666666667,0.8739978134110787
dataset74,0.9409090909090909,0.9621848739495799,0.9829257447754558
dataset75,0.803030303030303,0.9502262443438914,0.9349999999999999
dataset76,0.919047619047619,0.9285714285714286,0.9466666666666667
dataset77,0.9453781512605042,1.0,1.0
dataset78,0.8939393939393939,0.9120370370370371,0.8705357142857143
dataset79,0.9166666666666666,0.9330143540669856,0.9312169312169313
dataset80,0.8737373737373737,0.8935185185185185,0.9004524886877828
dataset81,0.861904761904762,0.8403361344537815,0.8679316529783823
dataset82,0.8967391304347827,0.9598214285714286,0.9537037037037037
dataset83,0.8857142857142857,0.9663865546218487,0.9570475767007558
dataset84,0.9454545454545455,0.9241071428571428,0.9569377990430622
dataset85,0.9464285714285715,0.8476190476190476,0.8309586810502748
dataset86,0.9090909090909091,0.9227272727272727,0.9743511759935117
dataset87,0.8761904761904762,0.9327731092436975,0.9206783369803064
dataset88,0.905982905982906,0.92,0.9027777777777778
dataset89,0.8952380952380953,0.8823529411764707,0.8823529411764707
dataset90,0.9571428571428572,0.9583333333333334,0.9612144774599648
dataset91,0.9444444444444444,0.9377777777777777,0.9411764705882353
dataset92,0.9487179487179488,0.9708333333333334,0.9833559475350521
dataset93,0.9141414141414141,0.9188034188034189,0.8615747289014617
dataset94,0.9273504273504273,1.0,0.965166908563135
dataset95,0.9,0.9375,0.9247342444950646
dataset96,0.8409090909090908,0.8375,0.7943163935943719
dataset97,0.9107142857142857,0.9090909090909092,0.894396337215089
dataset98,0.9658119658119658,0.9789915966386555,0.9513129102844639
dataset99,0.9298245614035087,0.8991596638655462,0.9429248723559447
