datasetId,auc_1year,auc_2year,auc_3year
dataset0,0.8666666666666667,0.8640350877192983,0.8947010869565216
dataset1,0.8552631578947368,0.8916666666666667,0.8998459167950693
dataset2,0.9409090909090909,0.9789915966386554,0.9910649161196208
dataset3,0.8714285714285713,0.9033613445378151,0.8811479278769
dataset4,0.6857142857142857,0.7916666666666666,0.8941798941798942
dataset5,0.9333333333333333,0.9316239316239316,0.9834040546911835
dataset6,0.7373737373737373,0.8697478991596638,0.8903459821428572
dataset7,0.9181818181818182,0.9049773755656109,0.8977777777777778
dataset8,0.7543859649122807,0.7963800904977375,0.8009259259259259
dataset9,0.8640350877192983,0.8125,0.8064868804664723
dataset10,0.8666666666666667,0.8883928571428572,0.8883928571428572
dataset11,0.9238095238095237,0.8571428571428573,0.8286241920590952
dataset12,0.8162393162393162,0.8109243697478993,0.8109243697478993
dataset13,0.8333333333333334,0.8596491228070176,0.8497865770593043
dataset14,0.8166666666666667,0.8907563025210085,0.9297957695113057
dataset15,0.8666666666666667,0.9102564102564102,0.9873670212765957
dataset16,0.8714285714285714,0.8290598290598291,0.9061866615191584
dataset17,0.9142857142857143,0.9458333333333333,0.9236516034985424
dataset18,0.8772727272727272,0.9327731092436975,0.9365699404761905
dataset19,0.9095238095238095,0.9083333333333333,0.9207479119210327
dataset20,0.8666666666666667,0.8640350877192983,0.8947010869565216
dataset21,0.8142857142857143,0.8458333333333333,0.878097667638484
dataset22,0.9090909090909091,0.8974358974358975,0.8906683947417146
dataset23,0.7818181818181817,0.8166666666666667,0.9233546237156346
dataset24,0.9191919191919191,0.8949579831932775,0.8949579831932775
dataset25,0.7999999999999999,0.8487394957983193,0.8991611962071481
dataset26,0.8952380952380953,0.9208333333333334,0.8896949404761905
dataset27,0.8761904761904763,0.869747899159664,0.8972783972783973
dataset28,0.780952380952381,0.75,0.7806567957479119
dataset29,0.8484848484848484,0.9155555555555556,0.9095022624434389
dataset30,0.858695652173913,0.7605042016806723,0.781988281988282
dataset31,0.8418803418803419,0.9572649572649573,0.9572649572649573
dataset32,0.75,0.8632478632478633,0.8859978540772533
dataset33,0.9122807017543859,0.8875,0.8323657474600871
dataset34,0.9727272727272727,0.9705882352941176,0.907202216066482
dataset35,0.8523809523809524,0.8625,0.8739285714285715
dataset36,0.8095238095238095,0.888888888888889,0.8828361027190332
dataset37,0.8333333333333333,0.8247863247863249,0.8496935407826497
dataset38,0.8641304347826086,0.8418803418803419,0.8666918429003021
dataset39,0.8035714285714286,0.952991452991453,0.9116454502593117
dataset40,0.8190476190476191,0.918552036199095,0.9592760180995474
dataset41,0.7692307692307693,0.837719298245614,0.8378160572176891
dataset42,0.9122807017543859,0.9598214285714286,0.9776785714285715
dataset43,0.8392857142857142,0.875,0.905859483476812
dataset44,0.7948717948717949,0.8571428571428571,0.8571428571428571
dataset45,0.8421052631578948,0.9273504273504274,0.9120171673819742
dataset46,0.9728260869565217,0.8959276018099548,0.9375000000000001
dataset47,0.95,0.9495798319327731,0.8937819110138586
dataset48,0.9090909090909092,0.8739495798319328,0.8746999076638965
dataset49,0.8823529411764707,0.8728070175438597,0.8616920152091254
dataset50,0.8376068376068376,0.8564814814814815,0.85
dataset51,0.9369747899159664,0.9444444444444444,0.9520348837209304
dataset52,0.898989898989899,0.9159663865546218,0.8753543753543753
dataset53,0.8904761904761904,0.9916666666666667,0.9642857142857143
dataset54,0.8,0.8728070175438597,0.8937241865619019
dataset55,0.7916666666666666,0.9327731092436975,0.9745163690476191
