datasetId,auc_1year,auc_2year,auc_3year
dataset0,0.8266666666666667,0.7719298245614035,0.8784937888198757
dataset1,0.8157894736842105,0.7958333333333334,0.9273882896764252
dataset2,0.9136363636363637,0.8949579831932774,0.9077315827862874
dataset3,0.7714285714285715,0.773109243697479,0.7952421410365338
dataset4,0.5904761904761906,0.6388888888888888,0.7883597883597884
dataset5,0.8809523809523809,0.8290598290598291,0.8791136256482791
dataset6,0.7474747474747475,0.8109243697478992,0.8570498511904762
dataset7,0.8090909090909091,0.8597285067873303,0.9422222222222222
dataset8,0.7061403508771931,0.6606334841628959,0.7037037037037037
dataset9,0.7982456140350878,0.675,0.6889577259475218
dataset10,0.8333333333333334,0.7633928571428571,0.7633928571428571
dataset11,0.8904761904761905,0.8613445378151261,0.8032317636195753
dataset12,0.7393162393162394,0.6680672268907563,0.6680672268907563
dataset13,0.7543859649122807,0.7368421052631579,0.7637816728725819
dataset14,0.625,0.7016806722689076,0.7897520058351569
dataset15,0.7619047619047619,0.8162393162393162,0.9540273556231004
dataset16,0.8523809523809525,0.7820512820512822,0.8592799922787377
dataset17,0.7666666666666666,0.8166666666666667,0.8189686588921282
dataset18,0.7863636363636364,0.8361344537815126,0.8823474702380952
dataset19,0.8333333333333334,0.7375,0.8776575550493546
dataset20,0.8266666666666667,0.7719298245614035,0.8784937888198757
dataset21,0.9142857142857143,0.7916666666666666,0.8783709912536443
dataset22,0.8636363636363636,0.782051282051282,0.8091094241807074
dataset23,0.6727272727272728,0.6916666666666667,0.8424511709710267
dataset24,0.8181818181818181,0.8277310924369748,0.8277310924369748
dataset25,0.7285714285714286,0.7899159663865547,0.8641502552881107
dataset26,0.8047619047619047,0.7958333333333334,0.7580915178571429
dataset27,0.8714285714285716,0.773109243697479,0.841995841995842
dataset28,0.7666666666666666,0.7125,0.7719248291571754
dataset29,0.898989898989899,0.7688888888888888,0.8009049773755657
dataset30,0.8097826086956521,0.7058823529411765,0.7307692307692308
dataset31,0.8504273504273504,0.8632478632478633,0.8632478632478633
dataset32,0.7368421052631579,0.782051282051282,0.8378040057224606
dataset33,0.8508771929824561,0.8000000000000002,0.7989840348330914
dataset34,0.9090909090909091,0.861344537815126,0.8031394275161589
dataset35,0.7095238095238096,0.7125,0.7608035714285715
dataset36,0.7857142857142857,0.8034188034188036,0.8502643504531722
dataset37,0.7676767676767676,0.7307692307692307,0.8001885902876001
dataset38,0.8695652173913044,0.8162393162393163,0.8793429003021148
dataset39,0.6904761904761906,0.7777777777777779,0.8084865629420084
dataset40,0.7666666666666666,0.832579185520362,0.9049773755656109
dataset41,0.6538461538461539,0.6929824561403508,0.7321446559887176
dataset42,0.9078947368421052,0.8660714285714286,0.9241071428571429
dataset43,0.8035714285714285,0.8583333333333334,0.9361288530963621
